時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
08:30,16724,Ｅ－ＷｉｓｄｏｍＴｒ,E-WisdomTr,上場ETF（管理会社：WisdomTree、外国投資法人：CSL）に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260508518972.pdf
08:30,16724,Ｅ－ＷｉｓｄｏｍＴｒ,E-WisdomTr,上場ETF（管理会社：WisdomTree、外国投資法人：MSL）に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260508518971.pdf
08:55,94120,スカパーＪＳＡＴ,SKY PerfecTV JSAT,（訂正）「スカパーＪＳＡＴグループ 2026 年３月期 通期決算説明会資料」の一部訂正について,(Correction) Regarding some corrections to “SKY Perfect JSAT Group Financial Results Briefing Materials for the Year Ending March 2026”,東,TSE,https://www.release.tdnet.info/inbs/140120260508519022.pdf
09:00,17620,高松Ｇ,Takamatsu G,業績予想および配当予想の修正に関するお知らせ,Notice Regarding Revision of Earnings Forecast and Dividend Forecast,東,TSE,https://www.release.tdnet.info/inbs/140120260507517428.pdf
09:00,30420,セキュアヴェイル,secure veil,2026年3月期通期連結業績予想の修正に関するお知らせ,Notice regarding revisions to consolidated financial forecasts for the fiscal year ending March 2026,東札,TSE / SSE,https://www.release.tdnet.info/inbs/140120260507518524.pdf
09:10,23450,ＨＯＤＬ１,HODL1,AI経営管理エージェント事業の開始に関するお知らせ,Notice regarding the start of AI business management agent business,東,TSE,https://www.release.tdnet.info/inbs/140120260508519036.pdf
09:40,13294,Ｅ－ブラックロック,E-Blackrock,上場ETF（管理会社：ブラックロック・ジャパン）に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260508519113.pdf
10:00,16714,Ｅ－シンプレクス,E-Simplex,上場ＥＴＦ(管理会社：シンプレクス・アセット・マネジメント)に関する日々の開示事項,Daily Disclosure Items Regarding Listed ETF,東,TSE,https://www.release.tdnet.info/inbs/140120260508519174.pdf
10:00,39210,ネオジャパン,neo japan,（訂正）「その他の関係会社の異動に関するお知らせ」の一部訂正について,(Correction) Regarding partial corrections to “Notice regarding changes in other affiliated companies”,東,TSE,https://www.release.tdnet.info/inbs/140120260507518836.pdf
10:00,50760,インフロニアＨＤ,Infronia HD,2029年満期ユーロ円建転換社債型新株予約権付社債（グリーンCB）の転換価額の調整に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260501517043.pdf
10:00,50760,インフロニアＨＤ,Infronia HD,業績予想の修正及び剰余金の配当（増配）に関するお知らせ,Notice regarding revision of business forecast and dividend (increase) of surplus,東,TSE,https://www.release.tdnet.info/inbs/140120260501517042.pdf
10:00,53020,日カーボン,day carbon,自己株式の取得状況に関するお知らせ（会社法第165条第2項の規定による定款の定めに基づく自己株式の取得）,"Notice regarding the status of acquisition of treasury stock (acquisition of treasury stock based on the provisions of the articles of incorporation pursuant to the provisions of Article 165, Paragraph 2 of the Companies Act)",東,TSE,https://www.release.tdnet.info/inbs/140120260428513258.pdf
